temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
81.84341,100.49978,99.53496,99.70359,0.0,0.0,0.0,9.080144904764839e-101,1.934537738351168e-27,1.934537738351168e-27,-0.0,6.390272559409421e-95,1.548152564300943e-19,1.548152564300943e-19,2.764673097963826e-105,2.283660506281153e-22,2.283660506281153e-22,-0.0
82.79832,100.50326,99.51935,99.70477,0.0,0.0,0.0,2.1757645357358226e-100,2.365037102882541e-27,2.365037102882541e-27,-0.0,1.3624975691204528e-94,1.755876020255482e-19,1.755876020255482e-19,5.896078528236018e-105,2.6161808937294834e-22,2.6161808937294834e-22,-0.0
83.75324,100.5077,99.51359,99.71024,0.0,0.0,0.0,5.213567280075263e-100,2.8913430616362987e-27,2.8913430616362987e-27,-0.0,2.905062855539787e-94,1.9914734081735451e-19,1.9914734081735451e-19,1.2574368289151555e-104,2.997123343520764e-22,2.997123343520764e-22,-0.0
84.70815,100.5042,99.52401,99.71234,0.0,0.0,0.0,1.2492636308819136e-99,3.534763619426743e-27,3.534763619426743e-27,-0.0,6.194009789123746e-94,2.2586794628779564e-19,2.2586794628779564e-19,2.6816719463289114e-104,3.4335299865733646e-22,3.4335299865733646e-22,-0.0
85.66307,100.50335,99.50847,99.71266,0.0,0.0,0.0,2.993485684309718e-99,4.3213758689440345e-27,4.3213758689440345e-27,-0.0,1.3206620087292392e-93,2.5617412824253263e-19,2.5617412824253263e-19,5.719111528508426e-104,3.9334867470756945e-22,3.9334867470756945e-22,-0.0
86.61798,100.50466,99.50984,99.71191,0.0,0.0,0.0,7.172925166355199e-99,5.283026566473057e-27,5.283026566473057e-27,-0.0,2.815840419629331e-93,2.9054630607030906e-19,2.9054630607030906e-19,1.219685998632552e-103,4.506235863488964e-22,4.506235863488964e-22,-0.0
87.5729,100.50738,99.51166,99.71433,0.0,0.0,0.0,1.718776427114193e-98,6.458690305025097e-27,6.458690305025097e-27,-0.0,6.0038223888159916e-93,3.295308072479305e-19,3.295308072479305e-19,2.601183289957936e-103,5.1623894701792485e-22,5.1623894701792485e-22,-0.0
88.52781,100.50117,99.51989,99.71862,0.0,0.0,0.0,4.11849462117217e-98,7.895964965992922e-27,7.895964965992922e-27,-0.0,1.2801008617617926e-92,3.737456215391447e-19,3.737456215391447e-19,5.547412081096606e-103,5.914077272311711e-22,5.914077272311711e-22,-0.0
89.48273,100.50335,99.524,99.71778,0.0,0.0,0.0,9.86873737826026e-98,9.65310163274879e-27,9.65310163274879e-27,-0.0,2.729379889645803e-92,4.2389351988997367e-19,4.2389351988997367e-19,1.1830779089074767e-102,6.775226854807788e-22,6.775226854807788e-22,-0.0
90.43764,100.51012,99.52583,99.72162,0.0,0.0,0.0,2.3647253458302916e-97,1.1801239679513924e-26,1.1801239679513924e-26,-0.0,5.819428561576627e-92,4.807694563698155e-19,4.807694563698155e-19,2.5230904373747446e-102,7.761757493934901e-22,7.761757493934901e-22,-0.0
91.39256,100.51122,99.52902,99.72365,0.0,0.0,0.0,5.666355199238523e-97,1.4427440662339655e-26,1.4427440662339655e-26,-0.0,1.2407952966563788e-91,5.452774437247743e-19,5.452774437247743e-19,5.380910080225381e-102,8.891948040587188e-22,8.891948040587188e-22,-0.0
92.34747,100.50897,99.53222,99.72662,0.0,0.0,0.0,1.357759685411624e-96,1.7638028863242267e-26,1.7638028863242267e-26,-0.0,2.6455531587319334e-91,6.184400748997655e-19,6.184400748997655e-19,1.1475594857761637e-101,1.0186691282629512e-21,1.0186691282629512e-21,-0.0
93.30239,100.50603,99.53496,99.72825,0.0,0.0,0.0,3.2534639451109324e-96,2.1563125716936982e-26,2.1563125716936982e-26,-0.0,5.640742697801371e-91,7.014202309867746e-19,7.014202309867746e-19,2.447361502862473e-101,1.1669976762533957e-21,1.1669976762533957e-21,-0.0
94.2573,100.51309,99.53496,99.72825,0.0,0.0,0.0,7.795879409757782e-96,2.636164255867256e-26,2.636164255867256e-26,-0.0,1.2026870751344907e-90,7.955333292800258e-19,7.955333292800258e-19,5.219364133317024e-101,1.3369224607788347e-21,1.3369224607788347e-21,-0.0
95.21222,100.51209,99.53496,99.73125,0.0,0.0,0.0,1.8680487314948013e-95,3.2228057738483406e-26,3.2228057738483406e-26,-0.0,2.5643213081594272e-90,9.022752473984041e-19,9.022752473984041e-19,1.1131162268822725e-100,1.5315919190761288e-21,1.5315919190761288e-21,-0.0
96.16713,100.51166,99.53405,99.72883,0.0,0.0,0.0,4.476177664168924e-95,3.9399878738120585e-26,3.9399878738120585e-26,-0.0,5.467500042179574e-90,1.0233380786294223e-18,1.0233380786294223e-18,2.373886695532034e-100,1.7546047254644463e-21,1.7546047254644463e-21,-0.0
97.12205,100.51427,99.53314,99.71948,0.0,0.0,0.0,1.0725817535132856e-94,4.816777118630861e-26,4.816777118630861e-26,-0.0,1.1657585044685218e-89,1.1606460522567983e-18,1.1606460522567983e-18,5.062708280323279e-100,2.0100929541782282e-21,2.0100929541782282e-21,-0.0
98.07696,100.51821,99.52309,99.71778,0.0,0.0,0.0,2.570097025375522e-94,5.888671167297567e-26,5.888671167297567e-26,-0.0,2.4855639783018066e-89,1.31637580052204e-18,1.31637580052204e-18,1.0796981968074747e-99,2.302779579923208e-21,2.302779579923208e-21,-0.0
99.03188,100.52083,99.52483,99.71778,0.0,0.0,0.0,6.158466846039215e-94,7.199112648622638e-26,7.199112648622638e-26,-0.0,5.299620162327004e-89,1.4930025649085238e-18,1.4930025649085238e-18,2.3026360152383265e-99,2.6380876225007646e-21,2.6380876225007646e-21,-0.0
