temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
236.53964,98.19209,95.4013,98.80277,0.0,0.0,0.0,0.0,3.6428683505833364e-05,3.6428683505833364e-05,-0.0,0.0,3.0574858537469507e-06,3.0574858537469507e-06,0.0,6.088900427242424e-07,6.088900427242424e-07,-0.0
237.49455,98.08414,95.22173,98.75559,0.0,0.0,0.0,0.0,3.836958607618759e-05,3.836958607618759e-05,-0.0,0.0,3.2491214301425882e-06,3.2491214301425882e-06,0.0,6.476063100585281e-07,6.476063100585281e-07,-0.0
238.44947,97.97269,95.04746,98.71167,0.0,0.0,0.0,0.0,4.042047611301046e-05,4.042047611301046e-05,-0.0,0.0,3.453220648621295e-06,3.453220648621295e-06,0.0,6.888381333578542e-07,6.888381333578542e-07,-0.0
239.40438,97.86735,94.84879,98.66464,0.0,0.0,0.0,0.0,4.2587915089953876e-05,4.2587915089953876e-05,-0.0,0.0,3.6706185384361345e-06,3.6706185384361345e-06,0.0,7.327513685548121e-07,7.327513685548121e-07,-0.0
240.3593,97.76053,94.65722,98.61215,0.0,0.0,0.0,0.0,4.487897207390222e-05,4.487897207390222e-05,-0.0,0.0,3.902217415181422e-06,3.902217415181422e-06,0.0,7.795249180012145e-07,7.795249180012145e-07,-0.0
241.31421,97.64926,94.45719,98.55718,0.0,0.0,0.0,0.0,4.730106981764225e-05,4.730106981764225e-05,-0.0,0.0,4.148972823752637e-06,4.148972823752637e-06,0.0,8.293478165529605e-07,8.293478165529605e-07,-0.0
242.26913,97.52799,94.24408,98.5026,0.0,0.0,0.0,0.0,4.9862207047281804e-05,4.9862207047281804e-05,-0.0,0.0,4.41191749859967e-06,4.41191749859967e-06,0.0,8.824239871067988e-07,8.824239871067988e-07,-0.0
243.22404,97.40427,94.02453,98.44278,0.0,0.0,0.0,0.0,5.257078725170337e-05,5.257078725170337e-05,-0.0,0.0,4.692145486018327e-06,4.692145486018327e-06,0.0,9.389689421488408e-07,9.389689421488408e-07,-0.0
244.17896,97.28235,93.80256,98.37915,0.0,0.0,0.0,0.0,5.543586802097451e-05,5.543586802097451e-05,-0.0,0.0,4.990839431521224e-06,4.990839431521224e-06,0.0,9.99215188286754e-07,9.99215188286754e-07,-0.0
245.13387,97.13828,93.56928,98.30882,0.0,0.0,0.0,0.0,5.846697048245921e-05,5.846697048245921e-05,-0.0,0.0,5.30925263775663e-06,5.30925263775663e-06,0.0,1.0634084913993536e-06,1.0634084913993536e-06,-0.0
