temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
95.95814,99.6408,100.5313,99.56734,-0.003639085,2.45e-12,0.002128084,0.000894815,8.41e-05,0.003107036,-0.022316132,0.001935492,0.0,8.22e-05,1.21e-43,0.002017685,0.013022149423029816,1.1437876078458244e-28,0.005162617821060673,0.0020422434583412955,6.93801154521407e-05,0.007274241394854109
96.91305,99.64585,100.55352,99.55053,-0.001330003,3.45e-12,0.002170636,0.000909605,8.54e-05,0.003165655,-0.016624586,0.00202874,0.0,8.36e-05,3.41e-43,0.002112386,0.01030465852073803,2.480836021853399e-28,0.005239500027960292,0.0020687583235012743,7.03319387781497e-05,0.007378590290239716
97.86797,99.64334,100.56305,99.54766,-0.005801652,4.84e-12,0.002214182,0.000924679,8.67e-05,0.003225574,-0.00596384,0.002125979,0.0,8.51e-05,9.540000000000001e-43,0.002211106,0.000329844272748403,5.354785828703745e-28,0.005317728080570203,0.002095675648238702,7.129884071602241e-05,0.0074847025695249265
98.82288,99.65693,100.56491,99.5499,-0.008958968,6.78e-12,0.002258747,0.000940043,8.8e-05,0.003286826,-0.00596384,0.002227349,0.0,8.66e-05,2.65e-42,0.002313989,-0.001775033073535326,1.1501924882169133e-27,0.005397327509227606,0.002123001882696028,7.228107256617684e-05,0.00759261046448981
99.7778,99.66045,100.37268,99.55105,-0.002377161,9.49e-12,0.002304361,0.000955704,8.94e-05,0.003349446,-0.00596384,0.002333001,0.0,8.82e-05,7.339999999999999e-42,0.002421184,-0.0020158947299009355,2.458613591347914e-27,0.005478327774571907,0.0021507447519575344,7.327893196271018e-05,0.007702351458492153
100.73271,99.66147,100.32174,99.55375,-0.004487275,1.32e-11,0.00235105,0.000971668,9.08e-05,0.003413469,-0.00596384,0.002443085,0.0,8.98e-05,2.02e-41,0.002532842,-0.002340527554466121,5.2299128137640506e-27,0.005560755613656242,0.0021789109694528076,7.429268069531741e-05,0.007813959263804368
101.68763,99.66902,100.32122,99.55552,-0.000256487,1.84e-11,0.002398844,0.000987943,9.21e-05,0.003478932,0.000272273,0.002557758,0.0,9.14e-05,5.52e-41,0.002649123,-0.0018430958728004043,1.1071077861890779e-26,0.005644641843843427,0.0022075085646712225,7.53226284479492e-05,0.007927473036962599
102.64254,99.66196,100.32122,99.55727,0.005010942,2.56e-11,0.002447773,0.001004534,9.36e-05,0.00354587,-0.00491138,0.002677179,0.0,9.3e-05,1.4999999999999999e-40,0.002770184,-0.00021993175005974308,2.332221664307007e-26,0.00573001447283502,0.002236544526333296,7.636904798606376e-05,0.00804292804715438
103.59746,99.65945,100.3306,99.55594,0.000298431,3.54e-11,0.002497868,0.001021449,9.5e-05,0.003614325,-0.01365047,0.002801513,0.0,9.47e-05,4.07e-40,0.002896192,0.002733241602122405,4.889235838094927e-26,0.005816905745376422,0.002266027201883277,7.743226159057701e-05,0.008160365208850277
104.55237,99.66139,100.34729,99.55205,-0.002633736,4.89e-11,0.002549162,0.001038695,9.65e-05,0.003684334,-0.014482996,0.002930926,0.0,9.64e-05,1.09e-39,0.003027313,0.0013771141576199852,1.0199917424844192e-25,0.0059053450075102895,0.0022959638679429083,7.851255351409931e-05,0.008279821428967295
