temperature,rate_3,rate_10,rate_5
380.17589,46.18682,49.16846,47.58295
381.13081,46.08341,49.11203,47.51386
382.08572,45.95472,49.0417,47.43682
383.04064,45.83161,48.96714,47.34995
383.99555,45.70809,48.91085,47.26259
384.95047,45.57125,48.86128,47.18528
385.90538,45.44256,48.80053,47.09449
386.8603,45.31348,48.72661,47.00396
387.81521,45.18154,48.64809,46.91943
388.77013,45.05182,48.57361,46.82038
389.72504,44.94382,48.50418,46.73625
390.67996,44.90672,48.42496,46.63641
391.63487,44.89139,48.35006,46.53089
392.58979,44.89005,48.27253,46.42969
393.5447,44.88796,48.19825,46.32477
394.49962,44.88382,48.11736,46.23466
395.45453,44.87969,48.03105,46.12782
396.40945,44.87135,47.94569,46.01419
397.36436,44.86314,47.86039,45.88118
398.31928,44.86934,47.76885,45.77058
399.27419,44.87107,47.67915,45.65417
400.22911,44.86727,47.58352,45.53313
401.18402,44.86658,47.49645,45.42293
402.13894,44.85971,47.39961,45.30366
403.09385,44.85315,47.2982,45.17367
404.04877,44.85279,47.19613,45.0592
405.00368,44.85279,47.09154,44.9489
405.9586,44.84373,46.99,44.83554
406.91351,44.84796,46.89518,44.75791
407.86843,44.84057,46.79533,44.74065
408.82334,44.8421,46.66083,44.72616
409.77826,44.84279,46.53218,44.71299
410.73317,44.84141,46.42935,44.70953
411.68809,44.83592,46.31598,44.70472
412.643,44.82521,46.18898,44.6975
413.59792,44.82314,46.07183,44.69383
414.55283,44.81895,45.96673,44.69139
415.50775,44.81555,45.82808,44.6866
416.46266,44.81452,45.68851,44.6826
417.41758,44.81176,45.58876,44.679
418.37249,44.80832,45.48561,44.66784
419.32741,44.809,45.3596,44.6714
420.28232,44.80004,45.24093,44.6718
421.23724,44.7959,45.13042,44.66975
422.19215,44.7959,45.07378,44.65821
423.14707,44.78754,45.05348,44.6578
424.10198,44.78279,45.04665,44.6582
425.0569,44.77078,45.03789,44.6586
426.01181,44.77004,45.0297,44.6518
426.96673,44.77004,45.02142,44.64714
427.92164,44.76866,45.02113,44.64701
428.87656,44.76521,45.01904,44.64661
429.83147,44.75935,45.01532,44.63702
430.78639,44.75312,45.01756,44.62861
431.7413,44.75177,45.02297,44.62901
432.69622,44.75108,45.02656,44.6274
433.65113,44.74901,45.0253,44.62549
434.60605,44.74694,45.01946,44.62062
435.56096,44.7387,45.01407,44.61274
436.51588,44.72754,45.0111,44.60142
437.47079,44.73416,45.01026,44.60102
438.42571,44.73384,45.0094,44.60102
439.38062,44.73315,45.00734,44.60062
440.33554,44.71384,45.0003,44.59833
441.29045,44.71281,44.99607,44.60422
442.24537,44.71039,44.99521,44.6002
443.20028,44.71262,44.99521,44.59515
444.1552,44.70936,44.99981,44.58751
445.11011,44.71522,45.00232,44.58305
446.06503,44.71832,45.00316,44.57583
447.01994,44.71074,45.00278,44.57097
447.97486,44.71212,44.99849,44.569
448.92977,44.70703,44.99772,44.56703
449.88469,44.69764,44.99814,44.56502
450.8396,44.69074,44.99313,44.56023
451.79452,44.69074,44.9923,44.55424
452.74943,44.68384,44.98812,44.55183
453.70435,44.68384,44.98694,44.55223
454.65926,44.68315,44.98344,44.55543
455.61418,44.68143,44.981,44.55229
456.56909,44.67935,44.98017,44.54784
457.52401,44.67251,44.98263,44.54424
458.47892,44.66491,44.98518,44.53784
459.43384,44.66488,44.98688,44.53505
460.38875,44.66488,44.98396,44.53024
461.34367,44.66251,44.98184,44.52776
462.29858,44.65109,44.97853,44.52425
463.2535,44.64797,44.97725,44.52104
464.20841,44.6549,44.9785,44.5206
465.16333,44.65626,44.97593,44.51784
466.11824,44.65348,44.9693,44.51503
467.07316,44.65279,44.968,44.50879
468.02807,44.6473,44.97027,44.50904
468.98299,44.64075,44.97098,44.50724
469.9379,44.63419,44.96888,44.50585
470.89282,44.62868,44.96303,44.5122
471.84773,44.62389,44.96178,44.50709
472.80265,44.62178,44.96136,44.50105
473.75756,44.62109,44.95969,44.50105
474.71248,44.61489,44.95802,44.50105
475.66739,44.61489,44.9576,44.49463
476.62231,44.61933,44.9576,44.49305
477.57722,44.6142,44.95223,44.49305
478.53214,44.61351,44.94717,44.49043
479.48705,44.60837,44.94757,44.48505
480.44197,44.59796,44.94852,44.48146
481.39688,44.59394,44.94546,44.47706
482.3518,44.59075,44.94533,44.47319
483.30671,44.58178,44.9452,44.46906
484.26163,44.5811,44.94506,44.46906
485.21654,44.57006,44.94172,44.46792
486.17146,44.56903,44.93832,44.46067
487.12637,44.56627,44.93503,44.44338
488.08129,44.56342,44.93461,44.44227
489.0362,44.57041,44.93372,44.44313
489.99112,44.57007,44.93208,44.44307
490.94603,44.56321,44.93001,44.44307
491.90095,44.55893,44.92834,44.44067
492.85586,44.55007,44.92751,44.43389
493.81078,44.55075,44.92792,44.42867
494.76569,44.54404,44.92751,44.42347
495.72061,44.5445,44.92534,44.41907
496.67552,44.54455,44.91998,44.41707
497.63044,44.53822,44.91998,44.41148
498.58535,44.53659,44.91998,44.40595
499.54027,44.53659,44.91998,44.40348
500.49518,44.53659,44.91998,44.39879
